Title,Company,Experience,Salary,Location,Skills,Posted,Scraped_At
BY MDM Data Analyst,SRSInfoway,3-7 Yrs,"60,000-80,000 PA",Mumbai,"MDM Data Analyst, Blue younder, Master Data Management, Tms, TM, Master data, Management, MDM",Few hours ago,2026-03-13 22:17
Data Analyst,Swiggy,2-5 Yrs,3-5 Lacs PA,Bengaluru,"Power Bi, Data Entry, Advanced Sql Queries, Countif, Conditional Formatting, Formulas, Join, Advanced Excel",Today,2026-03-14 18:39
Data Analyst,Raam Autobahn,,3-3.75 Lacs PA,,"Google Sheets, Excel, Google Forms, Data Analysis, Data Analytics, Excel Sheet, Analysis, Google Apps Script",Few hours ago,2026-03-14 18:39
Data Analyst,Spes Manning,3-5 Yrs,,Ahmedabad,"MongoDB, Data Analytics, SQL, Excel, Power Bi, Data Analysis, Tableau, Data",Few hours ago,2026-03-14 18:39
Static Data Analyst,Investec Global Services India,6-10 Yrs,,Mumbai,"Static Data analysis, Data Operations Analyst, Static Data Analyst, business processes, stakeholder interaction, root cause analysis, Data Operations, Static Data",Today,2026-03-14 18:39
Data Analyst,ABC Aditya Birla Money Limited,2-4 Yrs,,"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad","Risk analytics, Business analytics, Analytical, Business planning, Retail lending, Data structures, Statistics, SQL",4 days ago,2026-03-14 18:39
Data Verification Analyst,Foundation Ai,0-5 Yrs,,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining",3+ weeks ago,2026-03-14 18:39
Procurement Data Analyst,Davies Group,3-7 Yrs,,Pune,"Procurement, Automation, Financial reporting, Analytical, Reconciliation, Data quality, Spend analysis, Continuous improvement",4 days ago,2026-03-14 18:39
Data Analyst/ML Architect,AIT Global,6-10 Yrs,,Remote,"Anomaly Detection, feature engineering, ML flow, Data Bricks, SQL, Datafactory, Data Lake Gen2, Applied ML",6 days ago,2026-03-14 18:39
Data Analyst,Industrial Automation MNC,2-6 Yrs,,"Hybrid - Pune, Bengaluru, Delhi / NCR","Corporate Social Responsibility, customers sustainability, Sustainable Development, Research Analysis, Data Management, Data Collection, Reporting, Sustainability Reporting",2 weeks ago,2026-03-14 18:39
Data Analyst,Capgemini,4-6 Yrs,,Bengaluru,"data analyst, emerging technologies, python, solution architect, supply chain, performance tuning, data engineer, ai",2 weeks ago,2026-03-14 18:39
Data Analyst,Leading IT firm,8-10 Yrs,20-27.5 Lacs PA,"Hyderabad, Pune, Bengaluru","Data Analysis, SQL, Python, Power Bi, Data, Bi, Analysis",1 week ago,2026-03-14 18:39
FinOps & Data Analyst,Software Company,7-12 Yrs,12-22 Lacs PA,Chennai,"CloudZero, Nexthink, Flexera, Python, Data Engineering, Financial Operations, Finance Operation, Data",1 day ago,2026-03-14 18:39
Data Analyst,MNC,0-2 Yrs,2.75-5 Lacs PA,"Pimpri-Chinchwad, Pune","Google Sheets, Power Bi, MS Office, SQL, Data Analytics, Large Databases, Google Data Studio, data vis",1 day ago,2026-03-15 22:26
Data Analyst,Tata Consultancy Services,5-10 Yrs,,"Hyderabad, Chennai","Power Bi, Data Visualization, SQL, Kpi Dashboards, Python, PREDECTIVE ANALYSIS, Bi Reporting Tools, Data Cleansing",Few hours ago,2026-03-15 22:26
Data Analyst,Anytime Logistic Delhi,2-4 Yrs,,Hybrid - Canada,"Data Analysis, Data Analytics, Data Reporting, Analysis, Reporting, Analytics, Data",Today,2026-03-15 22:27
Data Analyst Course,Eduluk,0-3 Yrs,,New Delhi,"master data, metadata, python, data analysis, data management, data analytics, data validation, configuration",3+ weeks ago,2026-03-15 22:27
Data Analyst,Pinkerton Corporate Risk Management India Private Limited,5-10 Yrs,,Gurugram,"development, data analysis, kpi, forecasting, dashboard development, power bi, microsoft azure, pivot table",5 days ago,2026-03-15 22:27
Data Analyst,Sigmasoft Infotech,3-7 Yrs,5-10 Lacs PA,"Hyderabad, Bengaluru","Power Bi, Tableau, Snowflake, Data Visualization, ETL, AWS, SQL, Python",1 week ago,2026-03-15 22:27
Data Analyst,AU Small Finance Bank,2-10 Yrs,,Jaipur,"retail banking, trade finance, operational support, project management, data analysis, web services, issue resolution, business analysis",5 days ago,2026-03-15 22:27
Data Analyst | MeitY | Delhi,National Institute for Smart Government (NISG),6-10 Yrs,,Delhi / NCR,"Data Visualization, Data Analysis, SQL, Python, Analysis, Data",5 days ago,2026-03-15 22:27
Data Analyst (English Required),Peroptyx,0-5 Yrs,,Remote,"Data Analysis, English, Data Analytics, Data Mapping, Analysis, Analytics, Mapping, Data",Just now,2026-03-16 20:48
Data Analyst,Connected Value Health Solutions,4-8 Yrs,3.25-8 Lacs PA,"Chennai, Coimbatore","Data Migration, Data Mapping, SQL, Snowflake, Data Visualization, Data Modeling, Informatica, ETL",Today,2026-03-16 20:48
Data Analyst,Novel Office,0-2 Yrs,2.75-3 Lacs PA,Bengaluru,"Communication Skills, Excel, Analytical Skills, Data Interpretation, Problem Solving, Data Analysis, Data Collection, Reporting",Just now,2026-03-16 20:48
Data Analyst,Anblicks Solutions,2-4 Yrs,4.5-9 Lacs PA,Hybrid - Hyderabad,"SQL, Excel, ETL, Data Analytics, Analytics, Data, Data analysis",Today,2026-03-16 20:48
Data Analyst,Datametica,4-7 Yrs,,Hybrid - Pune,"Linux, SQL, Python, Hive, Hadoop, Analysts, Hdfs, Data",Just now,2026-03-16 20:48
Data Analyst,Impelsys,3-5 Yrs,,Hybrid - Bengaluru,"Data Analyst, Power Bi, Cloud, SQL, Python, Bi, Data analysis, Data",Few hours ago,2026-03-16 20:48
Data Analyst Outsourcing Services,Mazars,2-3 Yrs,,Jaipur,"Administration, Automation, Data validation, Manager Quality Assurance, Excel, data security, Standard operating procedures, Outsourcing",Few hours ago,2026-03-16 20:48
Wind Data Analyst,First Source Energy India,2-3 Yrs,,Bengaluru,"Data analysis, Networking, Renewable energy, Mechanical, Data Analyst, wind energy, Data quality, Sensors",Few hours ago,2026-03-16 20:48
Data Analyst,Aditya Birla Insulators,2-5 Yrs,,Thane,"Risk analytics, Business analytics, Analytical, Business planning, Retail lending, Data structures, Credit risk, SQL",Few hours ago,2026-03-16 20:48
"Data Analyst CTI, B&W",Unilever,7-10 Yrs,,Mumbai,"Data analysis, Data management, Analytical, Formulation, Clinical trials, CTI, Data Analyst, FMCG",Today,2026-03-16 20:48
Data Analyst-4-7Yrs-Delhi/NCR,Crescendo Global Leadership Hiring India,4-7 Yrs,,"Hybrid - Gurugram, Delhi / NCR","Sql Joins, POWERBI, SNOWFLAKE, DATA ANALYST, SQL, Insurance domain, SQL Queries, Data",Today,2026-03-16 20:48
